10:28:55,802 DEBUG JdbcTypeRegistry:56 - addDescriptor(LongNVarcharTypeDescriptor) replaced previous registration(LongVarcharTypeDescriptor)
10:28:55,804 DEBUG JdbcTypeRegistry:56 - addDescriptor(NClobTypeDescriptor(DEFAULT)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
10:28:55,804 DEBUG JdbcTypeRegistry:64 - addDescriptor(2005, ClobTypeDescriptor(STREAM_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
10:28:55,807 DEBUG BasicTypeRegistry:376 - Adding type registration null -> org.hibernate.type.NullType@4f7c0be3
10:28:55,807 DEBUG BasicTypeRegistry:380 - Type registration key [null] overrode previous entry : `org.hibernate.type.NullType@3e6104fc`
10:28:55,810 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.DurationType -> basicType@1(java.time.Duration,2)
10:28:55,811 DEBUG BasicTypeRegistry:376 - Adding type registration Duration -> basicType@1(java.time.Duration,2)
10:28:55,811 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.Duration -> basicType@1(java.time.Duration,2)
10:28:55,814 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.OffsetDateTimeType -> basicType@2(java.time.OffsetDateTime,3003)
10:28:55,815 DEBUG BasicTypeRegistry:376 - Adding type registration OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
10:28:55,815 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
10:28:55,816 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.ZonedDateTimeType -> basicType@3(java.time.ZonedDateTime,3003)
10:28:55,817 DEBUG BasicTypeRegistry:376 - Adding type registration ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
10:28:55,817 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
